Segmentation,Classifier,Feature,Periphery(px),Acc_%,ROC_%
Automatic,KNN,LBP,5,67.6,51.8
Automatic,SVM,LBP,5,61.7,45.0
Automatic,KNN,LBP_C,5,73.1,53.3
Automatic,SVM,LBP_C,5,65.2,54.5
Automatic,KNN,LBP,15,71.3,58.2
Automatic,SVM,LBP,15,65.6,51.8
Automatic,KNN,LBP_C,15,75.7,59.8
Automatic,SVM,LBP_C,15,68.4,59.6
Automatic,KNN,LBP,25,75.3,64.8
Automatic,SVM,LBP,25,69.8,58.8
Automatic,KNN,LBP_C,25,78.3,65.5
Automatic,SVM,LBP_C,25,71.6,63.9
Automatic,KNN,LBP,35,79.1,70.4
Automatic,SVM,LBP,35,73.8,64.8
Automatic,KNN,LBP_C,35,81.0,71.6
Automatic,SVM,LBP_C,35,74.9,68.6
Automatic,KNN,LBP,45,83.2,76.6
Automatic,SVM,LBP,45,78.1,71.4
Automatic,KNN,LBP_C,45,84.4,77.5
Automatic,SVM,LBP_C,45,78.9,73.1
